name,description,price,imgUrl,linkto
Sèche lingeProline DVE7P-1,Capacité 7 Kg - Evacuation,"199,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/proline_dve7p-1.html
Lave linge hublotSamsung WW70K5410UX ADDWASH,Capacité 7 kg (tambour 63 L) - Classe A+++ (-30%),"459,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70k5410ux.html
Sèche lingeBosch WTN85207FF,Capacité 7 kg - Condensation,"419,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/siemens_wtn85207ff.html
Lave linge séchantSamsung WD70J5A10AWEF,Capacité de lavage 7 kg / séchage 4 kg - Classe A,"599,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_sechant/samsung_wd70j5a10awef.html
Sèche lingeProline PROCD7,Capacité 7 kg - Condensation,"299,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/proline_procd7.html
Lave linge hublotBosch WAN28200FF,Capacité 8 kg (tambour 55 L) - Classe A+++ -10%,"549,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wan28200ff.html
Lave linge hublotElectrolux EW6F4840SP PERFECTCARE,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,"449,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew6f4840sp.html
Lave linge hublotElectrolux EW2F6812WI,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,"399,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f6812wi.html
Lave linge hublotBeko WTS7200W,Capacité 7 kg (tambour 50 L) - A+++,"359,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w.html
Lave linge hublotElectrolux EW6F4840SP PERFECTCARE,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,"449,00€*",https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew6f4840sp_p1709254346955A_093142856.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew6f4840sp.html
Lave linge hublotElectrolux EW2F6812WI,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,"399,00€*",https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f6812wi_p1902264668537A_111553364.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f6812wi.html
Lave linge hublotBeko WTS7200W,Capacité 7 kg (tambour 50 L) - A+++,"359,99€*",https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w_p1901294652975A_170913674.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w.html
