name,description,price,imgUrl,linkto,infos2,infos3,infos4,rating,promo,darty_prix_barre_cont,striped_price
Whirlpool AWOD2721,"Capacité 7kg, tambour de 52 L",349€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_awod2721_n1306043740706A_210005425.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_awod2721.html,Vitesse d'essorage jusqu'à 1200 tr/min,"Classe A+, technologie 6 ème sens",Départ différé,4/5 (3 avis),Soldes,,
Electrolux EWG127410W FULL,Capacité 7 kg (volume du tambour 46 L),620€,https://image.mistergooddeal.com/encastrable/lave-linge_encastrable/lave_linge_encastrable/electrolux_ewg127410w_full_m1211193679349A_172440048.jpg,https://www.mistergooddeal.com/nav/achat/encastrable/lave-linge_encastrable/lave_linge_encastrable/electrolux_ewg127410w_full.html,Vitesse d'essorage 1200 tours/min,Départ différé (1 à 24 h),14 programmes,4/5 (1 avis),Bon plan,,
Beko LLF08W3,Capacité 8 kg (tambour 55 L),379€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_llf08w3_n1711244318340A_101401808.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_llf08w3.html,Essorage variable jusqu'à 1200 tours/min,Tambour Aquawave - Parois anti-vibrations,Programme Mini 30°C - Classe A+++,1/5 (1 avis),,379€,-21%
Bosch WAT32409FF,Capacité 9 kg (tambour 65 L) - Classe A+++,619€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wat32409ff_n1808084585291A_134824270.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wat32409ff.html,Vitesse d'essorage 1600 tours/min,Fin différée / Affichage du temps restant,Tambour WaveDrum - Fonction rajout de linge,1/5 (1 avis),promo,909€,-32%
Whirlpool FWFD91483BFR,Capacité 9 kg (tambour 62 L) - Classe A+++,459€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_fwfd91483bfr_n1904244692756A_142940846.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_fwfd91483bfr.html,Essorage variable jusqu'à 1400 tours/min,Départ différé avec écran digital,Programmateur 6 ème SENS - Option Fresh Care+ - Moteur induction,0/5 (0 avis),,499€,Économie : 40€
Siemens WM12B211FF,Capacité 8 kg (tambour 55 L),356€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm12b211ff_n1911084773845A_163204648.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm12b211ff.html,,,,0/5 (0 avis),Bon plan,,
Proline FP 610 W,Capacité 6 kg (tambour 44 L),229€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_610_w_n1610114246209A_112523262.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_610_w.html,Essorage variable jusqu'à 1000 tours/min,Départ différé 3/6/9/12 heures,Programme rapide 30°C 15' - Programme Ecolavage 20°C,0/5 (0 avis),,39€99,
Electrolux EW2F1284GF,Capacité 8 kg - Classe A+++,399€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f1284gf_n1901304653068A_111307311.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f1284gf.html,Essorage variable jusqu'à 1200 tours/min,Départ différé / Temps restant,TimeCare - TimeManager - Système AutoClean - Top amovible,0/5 (0 avis),,39€99,
Beko WTS7200W,Capacité 7 kg (tambour 50 L) - A+++,329€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w_n1901294652975A_170913674.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w.html,Essorage variable jusqu'à 1200 tr/min,Départ différé / Affichage du temps restant,Fonction Vapeur SteamCure - Programme Express,0/5 (0 avis),,39€99,
Bosch WAT28618FF I-DOS,Capacité 8 kg (tambour 63 L) - Classe A+++,619€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wat28618ff_n1901174650638A_111528955.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wat28618ff.html,Essorage variable jusqu'à 1400 tours/min,Fin différée - Affichage du temps restant,Dosage automatique (i-Dos) - Fonction rajout de linge,0/5 (0 avis),Bon plan,39€99,
Whirlpool ZEN8,Capacité 8 kg (tambour 55 L),559€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_zen8_n1803204401484A_140519531.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_zen8.html,,,,0/5 (0 avis),Bon plan,559€,-29%
Samsung WW70K5410UW,Capacité 8 kg (tambour 55 L),402€86,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70k5410uw_n1903184679970A_150428158.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70k5410uw.html,,,,0/5 (0 avis),Bon plan,29€,
Beko WTV7744XWDOS,Capacité 7 kg (tambour 50 L) - Classe A+++ (-10%),369€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wtv7744xwdos_n1905204704126A_111935950.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wtv7744xwdos.html,Essorage variable jusqu'à 1400 tours/min,Dosage lessiviel AutoDose - Résistance anticalcaire,Tambour Aquawave - Programme Doudoune,0/5 (0 avis),Bon plan,499€,-26%
Miele WCE 670 TWINDOS,Capacité 8 kg (tambour 55 L),1 199€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/miele_wce_670_twindos_n1807034429370A_115553703.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/miele_wce_670_twindos.html,,,,0/5 (0 avis),Bon plan,1 199€,-16%
Samsung WW90M74GN2A quickdrive,Capacité 8 kg (tambour 55 L),999€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww90m74gn2a_n1908204740718A_121309193.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww90m74gn2a.html,,,,0/5 (0 avis),Bon plan,999€,-10%
Beko WITC7612B0W,Capacité 7 kg (tambour 55 L) - Classe A+++,384€99,https://image.mistergooddeal.com/encastrable/lave-linge_encastrable/lave_linge_encastrable/beko_witc7612b0w_n1705224328230A_141009518.jpg,https://www.mistergooddeal.com/nav/achat/encastrable/lave-linge_encastrable/lave_linge_encastrable/beko_witc7612b0w.html,Essorage variable jusqu'à 1200 tours/min,Départ différé / Affichage du temps restant,Résistance Anti-calcaire -Tambour Aquawave,0/5 (0 avis),Bon plan,577€,-33%
Miele WDD 025,Capacité 8 kg (tambour 55 L),1 129€46,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/miele_wdd_025_n1901304653041A_104118628.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/miele_wdd_025.html,,,,0/5 (0 avis),,,
Electrolux EW7F1474BI,Encastrable - Capacité 7 kg - Classe a+++,579€,https://image.mistergooddeal.com/encastrable/lave-linge_encastrable/lave_linge_encastrable/electrolux_ew7f1474bi_n1810114625480A_152609208.jpg,https://www.mistergooddeal.com/nav/achat/encastrable/lave-linge_encastrable/lave_linge_encastrable/electrolux_ew7f1474bi.html,Essorage 1400 tours/min,Départ différé 20 h / Affichage du temps restant,Système : SteamCare - SensiCare - Option douceur plus,0/5 (0 avis),,39€99,
Samsung WW80J5555DW,Capacité 8 kg (tambour 55 L),499€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww80j5555dw_n1704264294580A_173800038.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww80j5555dw.html,,,,0/5 (0 avis),Bon plan,499€,-29%
Lg F72SJ62WH,Capacité 8 kg (tambour 55 L),479€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/lg_f72sj62wh_n1905174703367A_163136527.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/lg_f72sj62wh.html,,,,0/5 (0 avis),,479€,-29%
