maker,model,size,format,doors,seats,Cylinders,Automatic,Assisted steering,ESP,0-100 kmph (sec),Max speed (km/h),Fuel eff (l/100km),Fuel type
BMW,3-Series,Medium car,Estate,5,5,L4,4,S,,"11,7",197,"7,7",Super bleifrei
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,,"10,2",212,"8,7",Super bleifrei
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,,"8,3",223,"8,5",Super bleifrei
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,,"7,4",230,"8,7",Super bleifrei
BMW,3-Series,Medium car,Estate,5,5,L4,-,S,,"12,6",179,"6,1",Diesel
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,,"10,5",206,"6,8",Diesel
BMW,3-Series,Medium car,Coupe,2,5,L4,4,S,,"12,7",195,"7,4",Normalkraftstoff
BMW,3-Series,Medium car,Coupe,2,5,L4,4,S,,"10,2",213,"7,8",Super bleifrei
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,,"9,9",214,"8,6",Super bleifrei
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,,8,227,"8,3",Super bleifrei
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,,8,233,"8,8",Super bleifrei
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,,"7,3",236,"8,5",Super bleifrei
BMW,3-Series,Medium car,Coupe,2,5,L6,-,S,,6,250,"9,1",Super Plus
BMW,3-Series,Medium car,Coupe,2,5,L6,-,S,,"5,5",250,"8,8",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L4,4,S,,"12,5",194,"7,9",Super bleifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,5,S,,"10,6",211,"8,8",Super bleifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,5,S,,"8,6",218,"9,3",Super bleifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,5,S,,"8,6",229,"9,1",Super bleifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,5,S,,"7,7",230,"8,7",Super bleifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,-,S,,"6,2",250,"9,1",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L6,-,S,,"5,6",250,"8,8",Super Plus
BMW,3-Series,Medium car,Hatchback,5,5,L4,5,S,S,"10,9",201,"6,9",Super Plus
BMW,3-Series,Medium car,Hatchback,5,5,L4,5,S,S,"9,3",214,"7,2",Super Plus
BMW,3-Series,Medium car,Hatchback,5,5,L6,5,S,S,"7,1",235,9,Super Plus
BMW,3-Series,Medium car,Hatchback,5,5,L4,-,S,S,"10,5",202,"5,6",Diesel
BMW,3-Series,Medium car,Hatchback,5,5,L4,5,S,S,"8,9",214,"5,6",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L4,4,S,,"12,4",200,"7,8",Superkraftstoff
BMW,3-Series,Medium car,Saloon,4,5,L4,4,S,,"10,4",206,"7,9",Superkraftstoff
BMW,3-Series,Medium car,Saloon,4,5,L4,5,S,S,"10,9",206,"7,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,5,S,S,"9,3",218,"7,2",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,,"9,9",219,"8,9",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"8,3",226,"8,9",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,,8,231,9,Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"7,2",240,"9,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,,7,240,9,Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"6,5",250,"9,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,-,S,S,"10,7",204,"5,6",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L4,-,S,,"9,9",207,"5,7",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L4,5,S,S,"8,9",216,"5,6",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,,"7,8",227,"6,8",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"7,2",242,"6,6",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"7,4",236,"9,6",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"7,5",234,10,Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"6,6",247,10,Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"8,5",224,"7,6",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,S,"7,7",234,"7,6",Diesel
BMW,3-Series,Medium car,Estate,5,5,L4,4,S,,"10,9",202,"8,1",Superkraftstoff
BMW,3-Series,Medium car,Estate,5,5,L4,5,S,S,"11,2",200,"7,3",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L4,5,S,S,"9,6",213,"7,4",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,,"10,2",214,9,Superkraftstoff
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"8,4",224,9,Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"7,4",237,"9,2",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,,"7,3",237,"9,3",Superkraftstoff
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"6,7",250,"9,4",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L4,-,S,S,"11,1",200,"5,6",Diesel
BMW,3-Series,Medium car,Estate,5,5,L4,-,S,,"10,1",207,"5,9",Diesel
BMW,3-Series,Medium car,Estate,5,5,L4,5,S,S,"9,3",211,"5,7",Diesel
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,,"7,9",225,7,Diesel
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"7,6",237,"6,8",Diesel
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"7,6",231,"9,8",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"6,8",243,"10,3",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"8,7",221,"7,7",Diesel
BMW,3-Series,Medium car,Estate,5,5,L6,5,S,S,"7,9",230,"7,8",Diesel
BMW,3-Series,Medium car,Coupe,2,5,L4,4,S,,"10,4",206,"7,9",Superkraftstoff
BMW,3-Series,Medium car,Coupe,2,5,L4,5,S,S,"9,3",218,"7,2",Super Plus
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,,"9,9",221,"8,9",Superkraftstoff
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,S,"8,2",226,"8,9",Super Plus
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,,8,233,9,Superkraftstoff
