name,description,price,img,linkto,marque,stockage,ecran,os
Apple iPhone 11 128 Go 6.1 Vert,Apple iPhone 11 128 Go 6.1 Vert,859,https://static.fnac-static.com/multimedia/Images/FR/MDM/9c/b2/bd/12432028/1540-1/tsp20191113130446/Apple-iPhone-11-128-Go-6-1-Vert.jpg,https://www.fnac.com/Apple-iPhone-11-128-Go-6-1-Vert/a13746057/w-4,Apple,128 Go,6,1  Contraste 1 400:1, Luminosité maximale de 625 nits,iOS 13
Smartphone Samsung Galaxy S20 Ultra 5G Double SIM 128 Go Gris,Smartphone Samsung Galaxy S20 Ultra 5G Double SIM 128 Go Gris,859,https://static.fnac-static.com/multimedia/Images/FR/MDM/fe/ba/d4/13941502/1540-1/tsp20200226110518/Smartphone-Samsung-Galaxy-S20-Ultra-5G-Double-SIM-128-Go-Gris.jpg,https://www.fnac.com/Smartphone-Samsung-Galaxy-S20-Ultra-5G-Double-SIM-128-Go-Gris/a14127073/w-4,Samsung,128 Go,6,9 ,Android 10 
Smartphone Huawei P30 Lite Double SIM 128 Go Bleu,Smartphone Huawei P30 Lite Double SIM 128 Go Bleu,279,https://static.fnac-static.com/multimedia/Images/FR/MDM/86/8a/b0/11569798/1540-1.jpg,https://www.fnac.com/Smartphone-Huawei-P30-Lite-Double-SIM-128-Go-Bleu/a13424255/w-4,Huawei,128 Go,6,15 ,Android 9.0, EMUI 9.0.1
Smartphone OnePlus 7 Pro Mirror Gray 128 Go et 6 Go RAM,Smartphone OnePlus 7 Pro Mirror Gray 128 Go et 6 Go RAM,599,https://static.fnac-static.com/multimedia/Images/FR/MDM/cd/f1/b1/11661773/1540-1/tsp20200122140414/Smartphone-OnePlus-7-Pro-Mirror-Gray-128-Go-et-6-Go-RAM.jpg,https://www.fnac.com/Smartphone-OnePlus-7-Pro-Mirror-Gray-128-Go-et-6-Go-RAM/a13510627/w-4,OnePlus,128 Go,6,41  Optic AMOLED,Autre OS OxygenOS basé sur Android 9.0
Apple iPhone 11 64 Go 6.1 Rouge,Apple iPhone 11 64 Go 6.1 Rouge,809,https://static.fnac-static.com/multimedia/Images/FR/MDM/7f/b2/bd/12431999/1540-1/tsp20191113130446/Apple-iPhone-11-64-Go-6-1-Rouge.jpg,https://www.fnac.com/Apple-iPhone-11-64-Go-6-1-Rouge/a13746027/w-4,Apple,64 Go,6,1  Contraste 1 400:1, Luminosité maximale de 625 nits,iOS 13
Smartphone Xiaomi Redmi Note 8 Pro Double SIM 64 Go Noir,Smartphone Xiaomi Redmi Note 8 Pro Double SIM 64 Go Noir,249,https://static.fnac-static.com/multimedia/Images/FR/MDM/17/bb/ca/13286167/1540-1/tsp20200226150608/Smartphone-Xiaomi-Redmi-Note-8-Pro-Double-SIM-64-Go-Noir.jpg,https://www.fnac.com/Smartphone-Xiaomi-Redmi-Note-8-Pro-Double-SIM-64-Go-Noir/a13955422/w-4,Xiaomi,64 Go,6,53 ,Android Pie 9.0
Smartphone Samsung Galaxy Z Flip Double SIM 256 Go Violet,Smartphone Samsung Galaxy Z Flip Double SIM 256 Go Violet,1500,https://static.fnac-static.com/multimedia/Images/FR/MDM/ba/45/d6/14042554/1540-1/tsp20200214130327/Smartphone-Samsung-Galaxy-Z-Flip-Double-SIM-256-Go-Violet.jpg,https://www.fnac.com/Smartphone-Samsung-Galaxy-Z-Flip-Double-SIM-256-Go-Violet/a14172988/w-4,Samsung,256 Go,6,7 ,Android 10
Apple iPhone 11 Pro Max 64 Go 6.5 Vert nuit,Apple iPhone 11 Pro Max 64 Go 6.5 Vert nuit,1259,https://static.fnac-static.com/multimedia/Images/FR/MDM/62/b2/bd/12431970/1540-1/tsp20191113133346/Apple-iPhone-11-Pro-Max-64-Go-6-5-Vert-nuit.jpg,https://www.fnac.com/Apple-iPhone-11-Pro-Max-64-Go-6-5-Vert-nuit/a13746002/w-4,Apple,64 Go,6,5  Contraste 2 000 000:1, Luminosité maximale de 800 nits (standard) ; luminosité maximale de 1 200 nits (HDR),iOS 13
Smartphone Xiaomi Redmi Note 8 Pro Double SIM 64 Go Vert,Smartphone Xiaomi Redmi Note 8 Pro Double SIM 64 Go Vert,249,https://static.fnac-static.com/multimedia/Images/FR/MDM/1a/bb/ca/13286170/1540-1/tsp20200214110733/Smartphone-Xiaomi-Redmi-Note-8-Pro-Double-SIM-64-Go-Vert.jpg,https://www.fnac.com/Smartphone-Xiaomi-Redmi-Note-8-Pro-Double-SIM-64-Go-Vert/a13955425/w-4,Xiaomi,64 Go,6,53 ,Android Pie 9.0
Smartphone Samsung Galaxy Z Flip Double SIM 256 Go Violet,Smartphone Samsung Galaxy Z Flip Double SIM 256 Go Violet,1500,https://static.fnac-static.com/multimedia/Images/FR/MDM/ba/45/d6/14042554/1540-1/tsp20200214130327/Smartphone-Samsung-Galaxy-Z-Flip-Double-SIM-256-Go-Violet.jpg,https://www.fnac.com/Smartphone-Samsung-Galaxy-Z-Flip-Double-SIM-256-Go-Violet/a14172988/w-4,Samsung,256 Go,6,7 ,Android 10
Apple iPhone 11 Pro Max 64 Go 6.5 Vert nuit,Apple iPhone 11 Pro Max 64 Go 6.5 Vert nuit,1259,https://static.fnac-static.com/multimedia/Images/FR/MDM/62/b2/bd/12431970/1540-1/tsp20191113133346/Apple-iPhone-11-Pro-Max-64-Go-6-5-Vert-nuit.jpg,https://www.fnac.com/Apple-iPhone-11-Pro-Max-64-Go-6-5-Vert-nuit/a13746002/w-4,Apple,64 Go,6,5  Contraste 2 000 000:1, Luminosité maximale de 800 nits (standard) ; luminosité maximale de 1 200 nits (HDR),iOS 13
Smartphone Xiaomi Redmi Note 8 Pro Double SIM 64 Go Vert,Smartphone Xiaomi Redmi Note 8 Pro Double SIM 64 Go Vert,249,https://static.fnac-static.com/multimedia/Images/FR/MDM/1a/bb/ca/13286170/1540-1/tsp20200214110733/Smartphone-Xiaomi-Redmi-Note-8-Pro-Double-SIM-64-Go-Vert.jpg,https://www.fnac.com/Smartphone-Xiaomi-Redmi-Note-8-Pro-Double-SIM-64-Go-Vert/a13955425/w-4,Xiaomi,64 Go,6,53 ,Android Pie 9.0
