name,description,price,img,linkto,infos2,infos3,infos4,rating
Apple IPHONE 8 PLUS 64 GO GRIS SIDERAL,OS Apple - iOS 11,630,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_64_gb_sg_n1709154361083A_180909240.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_64_gb_sg.html,"Ecran tactile 13.9 cm (5,5) - 1920 x 1080 pixels",Photo 12 mégapixels grand angle et téléobjectif - Vidéo UHD 4K,Puce A11 Bionic - 64 Go de mémoire,5/5 (2 avis)
Samsung GALAXY NOTE 4 NOIR,OS Android 4.4 - Kit Kat,185,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_note_4_noir_n1409264052269A_172323503.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_note_4_noir.html,"Écran tactile 14,4cm (5.7'') - Super AMOLED QHD 2560x1440p",Photo 16 mégapixels - Vidéo UHD 3840 x 2160 pixels,"Processeur quadri-cœur 2,7GHz - 32Go de mémoire",5/5 (1 avis)
Htc ONE M8s,OS Android 5.0 - Lollipop,237,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/htc_one_m8_s_acier_n1504144112008A_141709358.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/htc_one_m8_s_acier.html,"Écran tactile 12,7cm (5'') - Full HD 1920x1080 pixels",Photo 13 mégapixels - Vidéo Full HD 1080p,"Processeur Octo-coeur 1,7GHz - 16Go de mémoire",5/5 (1 avis)
Samsung GALAXY S7 EDGE OR,OS Android 6.0 - Marshmallow,219,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_glxy_s7_edge_or_n1602204206070A_180957352.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_glxy_s7_edge_or.html,"Ecran tactile incurvé de 5,5"" (13.97 cm) - Super Amoled Quad HD 2560 x 1440 pixels",Photo 12 mégapixels - Vidéo UHD 4K,"Processeur Octo-coeur 2,3GHz - 32Go de mémoire",5/5 (2 avis)
Huawei P9 LITE DUAL SIM BLANC,OS Android 6.0 - Marshmallow,293,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_p9_lite_white_n1605044229673A_162357555.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_p9_lite_white.html,"Écran tactile 13,2cm (5,2'') - Full HD 1920 x 1080 pixels",Photo 13 mégapixels - Vidéo Full HD 1080p,Processeur Octo-coeur 2GHz - 16Go de mémoire,5/5 (2 avis)
Honor 8 BLANC,OS Android 6.0 - Marshmallow,389,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/honor_8_blanc_n1608104254970A_142642293.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/honor_8_blanc.html,"Écran tactile 13,2cm (5,2'') - Full HD 1920 x 1080 pixels",Photo 12 mégapixels - Vidéo Full HD 1080p,"Processeur Octo-coeur 2,3GHz - 32Go de mémoire",5/5 (1 avis)
Huawei P10 NOIR,OS Android 7.0 - Nougat,549,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_p10_black_n1702244298489A_114913788.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_p10_black.html,"Écran tactile 13,2cm (5,2'') - Full HD 1920 x 1080 pixels",Photo 20 + 12 mégapixels - Vidéo Full HD 1080p,"Processeur octo-cœur 2,4GHz - 64Go de mémoire",5/5 (1 avis)
Apple IPHONE 5S 16GO GRIS SIDERAL,OS Apple - iOS 7,86,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iphone_5s_16go_noir_n1512093812006A_173325534.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iphone_5s_16go_noir.html,"Écran tactile 10,2cm (4.0'') - Retina 640x1136 pixels",Photo 8 mégapixels - Vidéo Full HD 1080p,Processeur A7 - 16Go de mémoire,5/5 (1 avis)
Samsung GALAXY S5 NOIR,OS Android 4.4.2 - KitKat,129,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_s5_noir_n1405094003365A_184444244.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_s5_noir.html,"Écran tactile 12,9cm (5,1'') - Super Amoled Full HD 1080p",Photo 16 mégapixels - Vidéo Full HD 1080p,"Processeur quadri-cœur 2,5GHz - 16Go de mémoire",5/5 (2 avis)
Samsung GALAXY CORE 4G NOIR,,149,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_core_4g_noir_n1406184021657A_111416162.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_core_4g_noir.html,,,,5/5 (1 avis)
Samsung GALAXY S6 32GO BLANC ASTRAL,OS Android 5.0 - Lollipop,145,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_s6_32go_blanc_n1503194099281A_145022868.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_s6_32go_blanc.html,"Écran tactile 12,9cm (5,1'') - Super Amoled Quad HD 2560 x 1440 pixels",Photo 16 mégapixels - Vidéo UHD 3840 x 2160 pixels,"Processeur Octo-coeur 2,1GHz - 32Go de mémoire",5/5 (1 avis)
Samsung GALAXY S6 32GO NOIR COSMOS,OS Android 5.0 - Lollipop,373,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_s6_32_go_noir_n1503194099311A_153456156.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_s6_32_go_noir.html,"Écran tactile 12,9cm (5,1'') - Super Amoled Quad HD 2560 x 1440 pixels",Photo 16 mégapixels - Vidéo UHD 3840 x 2160 pixels,"Processeur Octo-coeur 2,1GHz - 32Go de mémoire",5/5 (1 avis)
Samsung GALAXY S7 OR ROSE,OS Android 6.0 - Marshmallow,209,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_glxy_s7_or_rose_n1605244234359A_153421732.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_glxy_s7_or_rose.html,"Écran tactile 12,9cm (5,1'') - Super Amoled Quad HD 2560 x 1440 pixels",Photo 12 mégapixels - Vidéo UHD 4K,"Processeur Octo-coeur 2,3GHz - 32Go de mémoire",5/5 (1 avis)
Honor 5C DUAL SIM GOLD,OS Android 6.0 - Marshmallow,200,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/honor_5c_gold_n1606014235967A_111529890.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/honor_5c_gold.html,"Écran tactile 13,2cm (5,2'') - Full HD IPS 1920 x 1080 pixels",Photo 13 mégapixels - Vidéo Full HD 1080p,Processeur Octo-coeur 2GHz - 16Go de mémoire,5/5 (1 avis)
